'di	d i
robles	r o b l e s
rockwell	r a k w e l
rodel	r o d e l
rodolfo	r o d o l f o
rodrigo	r o d r e g o
roger	r o jh o
rollback	r o l b a k
rommel	r o m e l
romualdez	r o m w a l d e s
romulo	r o m o l o
ronald	r u n a l d
room	r u m
roon	r o q o n
roong	r o q o ng
rosa	r o s a
rosario	r o s a r e y o
rosas	r o s a s
rosemary	r o s e m e r i
rosenian	r o s e n i q a n
rosie	r o s i
routines	r o t i n s
rowena	r o w e n a
roxas	r o h a s
roy	r oy
rp	r p
rules	r u l s
runners	r u n er s
rusya	r u sh a
ryan	r a y a n
sa	s a
sa'yong	s a y o ng
saan	s a q a n
saan-saan	s a q a n q s a q a n
saang	s a q a ng
saapektadong	s a q a p e k t a d o ng
sabado	s a b a d o
sabay	s a b ay
sabay-sabay	s a b ay q s a b ay
sabi	s a b i
sabi-sabi	s a b i s a b i
sabihin	s a b i h i n
sabunang	s a b u n a ng
sadyang	s a d jh a ng
sagada	s a g a d a
saging	s a g i ng
sagipin	s a g i p i n
sagot	s a g o t
sagun	s a g u n
sagutang	s a g u t a ng
sagutin	s a g u t i n
sahig	s a h i g
sahod	s a h o d
sailalim	s a q i l a l i m
sailors	s a q i l o er s
saka	s a k a q
sakaling	s a k a l i ng
sakayan	s a k a y a n
sakdal-sakdal	s a k d a l q s a k d a l
sakit	s a k i t
sakitin	s a k i t i n
saklap	s a k l a p
sakong	s a k u ng
saksakan	s a k s a k a n
salamat	s a l a m a t
salamin	s a l a m i n
salang	s a l a ng
salapi	s a l a p i
salary	s a l e r i
salazar	s a l a z a er
salcedo	s a l s e d o
sale	s a l
salihan	s a l i h a n
salita	s a l i t a
salitang	s a l i t a ng
salitay	s a l i t ay
salle	s a l
salon	s a l o n
salop	s a l o p
saltwater	s a l t w o t er
salungguhitan	s a l u ng g u h i t a n
salvador	s a l b a d o r
samakalawa	s a m a k a l a w a
samantala	s a m a n t a l a
samantala'y	s a m a n t a l ay
samantalang	s a m a n t a l a ng
samasama	s a m a s a m a
sambayanang	s a m b a y a n a ng
samie	s a m i
sampaloc	s a m p a l o k
sampu	s a m p u
sampung	s a m p u ng
san	s a n
sana	s a n a q
sanayan	s a n a y a n
sanayin	s a n a y i n
sanchez	s a n ch e s
sandali	s a n d a l i q
sandaling	s a n d a l i ng
sandra	s a n d er a
sanga	s a ng a
sanggol	s a ng g o l
sangkap	s a ng k a p
sangko	s a ng k o
sangre'	s a ng r e
sanhi	s a n h i
sanlang	s a n l a ng
santa	s a n t a
santakrusan	s a n t a k r u s a n
santiago	s a n t i y a g o q
santo	s a n t o
santos	s a n t o s
sapa	s a p a
sapagkat	s a p a g k a t
sapantahin	s a p a n t a h i n
sapat	s a p a t
sapatos	s a p a t o s
sapilitang	s a p i l i t a ng
sapin-sapin	s a p i n q s a p i n
sar	s a r
sara	s a r a
sarah	s a r a
sarciado	s a r sh a d o
sardinas	s a er d i n a s
sarili	s a r i l i q
sariling	s a r i l i ng
sariwa	s a r i w a
sariwang	s a r i w a ng
sarmiento	s a r m i e n t o
saru	s a r u
sasabihin	s a s a b i h i n
sasagot	s a s a g o t
sasak-yan	s a s a k q y a n
sasaktan	s a s a k t a n
sasakyan	s a s a k y a n
sasaluhin	s a s a l u h i n
sasama	s a s a m a
sasariwain	s a s a r i w a q i n
satisfied	s a t i s f ay d
saudi	s o d i
savings	s ey v i ng s
sawaling	s a w a l i ng
sawi	s a w i
sayangin	s a y a ng i n
sayaw	s a y aw
sayo	s a y o q
sbma	s b m a
scarf	s k e er f
school	s k u l
scrambled	s k r a m b l d
seafarers	s i f a r er s
sean	sh ao n
seater	sh ao t er
seatwork	s i t w er k
sebastian	s e b a s ch a n
secretary	s i k r e t a r i
section	s e k sh uh n
sector	s i k t o r
security	s e k y u r i t i
segundo	s i g u n d o
segusegundo	s e g u s e g u n d u
sekretarya	s e k r e t a r y a
sekretaryo	s e k r e t a r y o q
sektor	s e k t o r
selling	s e l i ng
semana	s e m a n a
semento	s e m e n t o
semplang	s e m p l a ng
sentimetro	s e n t i m e t r o
sentimo	s e n t i m o
sentimos	s e n t i m o s
sentral	s e n t r a l
sentro	s e n t r o
senyales	s e n y a l e s
serafin	s e r a f i n
serbisyo	s e er b i sh o
serbisyong	s e er b i sh u ng
seremonya	s e er m o ny a
service	s er v i s
serviced	s er v i s t
services	s er v i s e s
serye	s e er y e
seryoso	s e er y o s o
sesyon	s e sh o n
setyembre	s e t y e m b r e
seven	s e v e n
seventy	s e v e n t
seventy-six	s e v e n t y s i k s
sex	s e k s
shangri-la	sh a ng r i l a
shangri-la's	sh a ng er i l a s
shares	sh ey r s
sharing	sh a r i ng
sharon	sh a r o n
she	sh i
sheila	sh i l a
shell	sh e l
shellfish	sh e l f i sh
sherwin	sh e r w i n
sheryl	sh e er y l
shift	sh i f t
short-term	sh o t t er m
show	sh ow
shrine	sh er ay n
shut	sh u t
si	s i
siargao	sh a r g aw
sibugay	s i b u g ay
sibulan	s i b u l a n
sigaw	s i g aw
sige	s i g i
sigla	s i g l a
signal	s i g n a l
signs	s i g n s
sigurado	s i g u r a d o
siguradong	s i g u r a d o ng
siguro	s i g u r o
siguro'y	s i g u r uy
sigwa	s i g w a
sikat	s i k a t
sikatuna	s i k a t u n a
sikmura	s i k m u r a
siko	s i k o
sikolohiya	s i k o l o h i y a
sila	s i l a
sila'y	s i l ay
silang	s i l a ng
silangan	s i l a ng a n
silanganan	s i l a ng a n a n
silangang	s i l a ng a ng
silbi	s i l b w i q
silid	s i l i d
silid-aralan	s i l i d q a r a l a n
silliman	s i l i m a n
silverstone	s i l v er s t ow n
silya	s i ly a
simbahan	s i m b a h a n
simbolo	s i m b o l o
simula	s i m u l a
simulan	s i m u l a n
sina	s i n a
sinabi	s i n a b i
sinabihan	s i n a b i h a n
sinagot	s i n a g o t
sinalubong	s i n a l u b o ng
sinangag	s i n a ng a g
sinasabi	s i n a s a b i
sinasabing	s i n a s a b i ng
sinasakyan	s i n a s a k y a n
sinasamahan	s i n a s a m a h a n
sinat	s i n a t
singalong	s i ng g a l o ng
singapore	s i ng g a p o er
singaw	s i ng aw
singil	s i ng i l
singit	s i ng i t
singson	s i ng s u n
sinigang	s i n i g a ng
sinigid	s i n i g i d
siniguro	s i n i g u r o
sinimula	s i n i m u l a
sinimulan	s i n i m u l a n
sinipit	s i n i p i t
sinira	s i n i r a
sinisiguro	s i n i s i g u r o
sinisimulan	s i n i s i m u l a n
sinkwenta	s i n k w e n t a
sino	s i n o
sino'ng	s i n o ng
sinong	s i n o ng
sintido	s i n t i d o
sintomas	s i n t o m a s
sinu-sino	s i n o q s i n o
sinulat	s i n u l a t
sinuman	s i n u m a n
sinumang	s i n u m a ng
sinusumpong	s i n u s u m p o ng
sipit	s i p i t
sipon	s i p o n
sirkulasyon	s i r k u l a sh o n
sisimulan	s i s i m u l a n
sisxty	s i s k s t i
sitaw	s i t aw
sitwasyon	s i t w a sh o n
six	s i
sixty	s i t i
siya	s i y a
siya'y	s i y a y
siyam	s i y a m
siyam-siyam	sh a m q s i y a m
siyamnapu	sh a m n a p u
siyamnapu't	sh a m n a p u t
siyamnapung	sh a m n a p u ng
siyang	sh a ng
siyudad	sh y u d a d
sm	s m
small	s m o l
smart	s m a er t
smes	s m s
sobrang	s u b r a ng
sofitel	s o f i t i l
soleil	s o l ey
soliman	s o l i m a n
solusyon	s o l u sh o n
some	s o m e
somerset	s o m er s e t
sona	s o n a
sopas	s o p a s
sore	s o er
sorghum	s o er g h u m
soriso	s o r i s o
sorsogon	s o r s o g o n
southeast	s aw d i s t
spa	s p a
spam	s p a m
specific	s p i s i p i k
speed	s p i d
spelling	s p e l i ng
spirit	s p i r i t
spokesman	s p ow k s m a n
spokesperson	s p ow k s p er s o n
sports	s p o er t s
spots	s p ao t s
sta	s t a
stability	s t a b i l i t i
stage	s t ey jh
star	s t a er
state	s t ey t
station	s t ey sh o n
stations	s t ey sh o n s
stella	s t e l a
stephen	s t e f e n
stock	s t o k
streamers	s t r e q a m er s
stress	s t r e s
subali't	s u b a l i t
subalit	s u b a l i t
subic	s u b i k
subject	s u b h i k t
subo-subo-subo	s u b o q s u b o q s u b u q
subok-subok	s u b o k q s u b o k
subscriber	s u b s k r i b er
substandard	s u b s t a n d a er d
subterranean	s a b t e er ey ny a n
subukan	s u b u k a n
sugar-free	s u g a r q f r i
sugat	s u g a t
sugpuin	s u g p o q i n
suhestiyon	s u h e s ch o n
suit	s u t
suites	s u t s
suka	s u k a
sukat	s u k a t
sukat-sukat	s u k a t q s u k a t
suklayin	s u k l a y i n
suklob	s u k l u b
sulat	s u l a t
sulatan	s u l a t a n
suliranin	s u l i r a n i n
sultan	s u l t a n
sumagot	s u m a g o t
sumakay	s u m a k ay
sumalat	s u m a l a t
sumali	s u m a l i q
sumama	s u m a m a
suman	s u m a n
sumangayon	s u m a ng a y o n
sumapi	s u m a p i
sumapit	s u m a p i t
sumasadsad	s u m a s a d s a d
sumasakit	s u m a s a k i t
sumasaklaw	s u m a s a k l aw
sumasalang	s u m a s a l a ng
sumatra	s u m a t r a
sumayaw	s u m a y aw
sumibol	s u m i b o l
sumigaw	s u m i g aw
sumigla	s u m i g l a
sumikat	s u m i k a t
sumisikat	s u m i s i k a t
summit	s u m i t
sumubok	s u m u b o k
sumuko	s u m u k o
sumulat	s u m u l a t
sumunod	s u m u n o d
sumusulong	s u m u s u l o ng
sumusunod	s u m u s u n o d
sumusuporta	s u m u s u p o er t a
sun	s u n
sunburn	s uh n b er n
sundalo	s u n d aw l o
sundan	s u n d a n
sundin	s u n d i n
sundo	s u n d o
sunog	s u n o g
sunog-sunog	s u n o g q s u n o g
suot	s u q o t
super	s u p e r
suplay	s u p l ay
suporta	s u p o er t a
supot	s u p o t
surfboard	s er f b ow a er d
suriing	s u r i q i ng
survey	s u r v i
sus	s u s
susi	s u s i
suso	s u s o q
susulat	s u s u l a t
susulatan	s u s u l a t a n
susunod	s u s u n o d
susuriin	s u s u r i q i n
susuriing	s u s u r i q i ng
suweldo	s w e l d o
suyod	s u y o d
swelling	s w e l i ng
systems	sh s t e m s
syudad	sh y u d a d
t	t
t-back	t b a k
t-bills	t b i l s
taal	t a q a l
taas	t a q a s
taba	t a b a
tabangao	t a b a ng a q o
tabi	t a b i q
tabing	t a b i ng
tabing-ilog	t a b i ng q i l o g
table	t a b l
tablet	t a b l e t
tabuk	t a b u k
tacloban	t a k l o b a n
tadyang	t a d jh a ng
taft	t a f t
tag-araw	t a g q a r aw
tag-ulan	t a g q u l a n
taga	t a g a
taga-bundok	t a g a q b u n d o k
taga-holandang	t a g a h o l a n d a ng
taga-ibang	t a g a q i b a ng
taga-japon	t a g a q h a p o n
tagal	t a g a l
tagalog	t a g a l o g
tagapagtaguyod	t a g a p a g t a g u y u d
tagarito	t a g a r i t o
tagaytay	t a g ay t ay
tagbilaran	t a g b i l a r a n
tagbisi	t a g b i s i
tagiliran	t a g i l i r a n
taglagas	t a g l a g a s
taglamig	t a g l a m i g
taglay	t a g l ay
tagsibol	t a g s i b o l
tagtuyot	t a g t u y o t
taguig	t a g u q i g
tahana't	t a h a n a t
tahimik	t a h i m i k
tahong	t a h o ng
tainga	t ey ng a
taipei	t a q i p e i q
takalan	t a k a l a n
takbo	t a k b o
takbuhan	t a k b u h a n
takda	t a k d a
takdang	t a k d a ng
takdang-aralin	t a k d a ng q a r a l i n
takip	t a k i p
takipsilim	t a k i p s i l i m
takot	t a k o t
takpan	t a k p a n
taktak	t a k t a k
takutin	t a k u t i n
tala	t a l a
tala-tala	t a l a t a l a
talaan	t a l a q a n
talaga	t a l a g a
talagang	t a l a g a ng
talahib	t a l a h i b
talampakan	t a l a m p a k a n
taliwas	t a l i w a s
talon	t a l u n
talukap	t a l u k a p
tama	t a m a
tamang	t a m a ng
tambler	t a m b l er
tamis	t a m i s
tampok	t a m p o k
tan	t a n
tanaw	t a n aw
tanda	t a n d a
tandag	t a n d a g
tanggal	t a ng g a l
tanggapan	t a ng g a p a n
tanggapin	t a ng g a p i n
tanghali	t a ng h a l i q
tanghaling	t a ng h a l i ng
tangi	t a ng i q
tanging	t a ng i ng
tanglay	t a g l ay
tanikalang	t a n i k a l a ng
tanim	t a n i m
tanong	t a n o ng
tao	t a q o
taon	t a q o n
taong	t a q o ng
taong-bayan	t a q u ng b a y a n
taos	t a o s
taoy	t a q oy
tapa	t a p a
tapang	t a p a ng
tapat	t a p a t
tapos	t a p o s
tapsilog	t a p s i l o g
target	t a r jh e t
tarlac	t a r l a k
tasa	t a s a
tasahan	t a s a h a n
task	t a s k
tataas	t a t a q a s
tatahimik	t a t a h i m i k
tatakbo	t a t a k b o
tatangkilikin	t a t a ng k i l i k i n
tatawag	t a t a w a g
tatay	t a t ay
tatayo	t a t a y o q
tatlo	t a t l o
tatlong	t a t l o ng
tatlumpu	t a t l u m p u
tatlumpu't	t a t l u m p u t
tatlumpung	t a t l u m p u ng
tauhan	t a u h a n
taumbayan	t a u m b a y a n
taung	t a u ng
taung-bayan	t a u ng b a y a n
tawa	t a w a
tawag	t a w a g
tax	t ae k s
taxi	t a k s i
tayabas	t a y a b a s
tayga	t a y g a
tayo	t a y o q
tayo'y	t a y oy
tayo-tayo	t a y o t a y o q
tayong	t a y o ng
tbip	t b i p
technologies	t e k n o l o jh i s
techono-park	t e ch o n o p a er k
teenagersdahil	t e e n e jh e r s d a h i l a n
teknolohiya	t e k n o l o h i y a
tele-ofw	t e l e q o f w
telebisyon	t e l e b i sh o n
telecom	t e l e k o m
telecommunication	t e l e k o m y u n i k ey sh o n
telecommunications	t e l e k o m y u n i k ey sh uh n s
telecoms	t e l e k o m s
telephone	t e l e f ow n
tema	t e m a
temperatura	t e m p e r a t u r a
tenor	t e n o r
tensiyong	t e n sh o ng
tenty	t e n t i
teodor	t i y o d o r a
teodora	t y u d o r a
terbinafine	t e r b i n a f ay n
teresita	t e r e s i t a
terminal	t e er m i n a l
termino	t e er m i n o
terorismo	t e r o r i s m o
terorista	t e r o r i s t a
terraces	t e er e s e s
tess	t e s
tessa	t e s a
test	t e s t
tetangco	t e t a ng k o
teves	t e v e s
text	t e k s
tgci	t g s i q ay
thailand	d a q i l a n d
thani	th a n i
that	d a t
the	d uh
thesaurus	d i s o r o s
third	d er d
thirteen	d er t i n
thirty-six	d er t y s i k s
thomas	th o m a s
though	t h aw
thousand	t h aw s a n
three	t r i
thrity	t r i t i
tibak	t i b a k
tibay	t i b ay
tig-isang	t i g q i s a ng
tigdas	t i g d a s
tikatik	t i k a t i k
tikom	t i k o m
tila	t i l a
timbang	t i m b a ng
timog	t i m o g
timog-maynila	t i m o g q m a n i l a
timogy	t i m u g i
timotenho	t i m o t e n h o
tin	t i n
tinaguriang	t i n a g u r i q a ng
tinamaan	t i n a m a q a n
tinamong	t i n a m o ng
tinangay	t i n a ng a y
tinanggap	t i n a ng g a p
tinangka	t i n a ng k a
tinanim	t i n a n i m
tinanong	t i n a n o ng
tinapa	t i n a p a
tinapang	t i n a p a ng
tinapay	t i n a p ay
tinapos	t i n a p o s
tinatamad	t i n a t a m a d
tinatanggap	t i n a t a ng g a p
tinatawag	t i n a t a w a g
tinatayang	t i n a t a y a ng
tinawag	t i n a w a g
tinayak	t i n a y a k
tinda	t i n d a
tindi	t i n d i
ting	t i ng
tinga	t i ng a
tingin	t i ng i n
tingnan	t i ng n a n
tinignan	t i n i g n a n
tinipon	t i n i p o n
tiniyak	t i n I y a k
tinorta	t i n o er t a
tinta	t i n t a
tinubuan	t i n u b u q a n
tinulungan	t i n u l u ng a n
tinupad	t i n u p a d
tinuran	t i n u r a n
tinuruan	t i n u r u q a n
tinusta	t i n u s t a
tinutusok-tusok	t i n u t u s o k t u s o k
tita	t i t a
titigas	t i t i g a s
titigilan	t i t i g i l a n
titik	t i t i k
tito	t i t o
tiwala	t i w a l a
tiwalang	t i w a l a ng
tiya	t i y a
tiyaga	ch a g a
tiyak	t i y a k
tiyakin	t i y a k i n
tiyan	t i y a n
tiyo	t i y o q
tlrc	t l er k
to	t o
tocho	t o ch o q
tocino	t o s i n o
todo	t o d o
tokwa't	t o k w a t
tokyo	t o k y o
tomas	t o m a s
tonelada	t o n e l a d a
tony	t o n i
torres	t o r e s
torta	t o er t a
tos	t o s
total	t o t a l
totoo	t u t u q u
totoo't	t u t u q u t
totoong	t u t u q u ng
tours	t o er s
towers	t a w er s
toxin	t o k s i n
toyo	t o y o q
trabaho	t r a b a h o q
trabahong	t r a b a h o ng
trade	t r ey d
trader	t r ey d er
traders	t r ey d er s
trading	t r ey d i ng
trak	t r a k
trangkaso	t r a ng k a s o
transportation	t r a n s p o er t ey sh o n
treasury	t r i s u r i
tren	t r e n
trilyon	t r i ly o n
trilyong	t r i ly o ng
trip	t r i p
tripod	t r i p u d
tristan	t r i s t a n
tro	t r o
truck	t er uh k
trust	t er a s t
tsina	ch i n a
tsinelas	ch i n e l a s
tsunami	t s u n a m i
tub	t u b
tubbataha	t u b a t a h a
tubig	t u b i g
tubo	t u b o q
tubo-tubo	t u b u t u b o q
tucp	t u k p
tugon	t u g o n
tuguegarao	t u g e g a r aw
tuhod	t u h u d
tula	t u l a
tulad	t u l a d
tulay	t u l ay
tuli	t u l i q
tulo	t u l o
tulong	t u l o ng
tuloy	t u l oy
tuloy-tuloy	t u l oy q t u l oy
tulungan	t u l u ng a n
tuluyan	t u l u y a n
tuluyang	t u l u y a ng
tumaas	t u m a a s
tumaas-bumaba	t u m a q a s q b u m a b a
tumahimik	t u m a h i m i k
tumakas	t u m a k a s
tumakbo	t u m a k b o
tumalon	t u m a l u n
tumanggi	t u m a ng g i
tumapak	t u m a p a k
tumataba	t u m a t a b a
tumatatag	t u m a t a t a g
tumawa	t u m a w a
tumawag	t u m a w a g
tumawid	t u m a w i d
tumayo	t u m a y o q
tumigil	t u m i g i l
tumingin	t u m i ng i n
tumitigas	t u m i t i g a s
tumitindi	t u m i t i n d i
tumor	t u m o r
tumpok	t u m p o k
tumubo	t u m u b o q
tumukol	t u m u k o l
tumunog	t u m u n o g
tumutulong	t u m u t u l o ng
tumutuntong	t u m u t u n t o ng
tunawin	t u n a w i n
tunay	t u n ay
tungkol	t u ng k o l
tungkulin	t u ng k u l i n
tungtong	t u ng t o ng
tunguhin	t u ng u h i n
turan	t u r a n
turismo	t u r i s m o
turista	t u r i s t a
turtle	t uh er t uh l
turuan	t u r u q a n
tustado	t u s t a d o
tutong	t u t o ng
tutugtog	t u t u g t u g
tutulong	t u t u l o ng
tutulungan	t u t u l u ng a n
tutungo	t u t u ng o
tututol	t u t u t o l
tuwa'y	t u w ay
tuwi-tuwina	t u w i t u w i n a
tuwing	t u w i ng
tuyo	t u y u q
tv	t i v i
twelfth	t w e l f th
twelve	t w e l v
twenty	t w e n t i
twenty-five	t w e n t i f ay v
twenty-four	t w e n t i f aw r
twenty-seven	t w e n t i s e v e n
two	t u
type	ch p i
typhoid	t i f ow i d
ubo	q u b o
ubos-ubos	q u b u s q u b u s
ubuhin	q u b u h i n
ubusin	q u b u s i n
ugali	q u g a l i q
ugali't	q u g a l i t
ugaliing	q u g a l i i ng
ugat	q u g a t
ukol	q u k o l
ulan	q u l a n
ulap	q u l a p
ulat	q u l a t
uli	q u l i q
ulila	q u l i l a
uling	q u l i ng
ulit	q u l i t
ulo	q u l o
umaagos	q u m a q a g o s
umaakyat	q u m a q a k y a t
umaalalay	q u m a q a l a l ay
umaalingawngaw	q u m a q a l i ng aw ng aw
umaasa	q u m a q a s a
umaayaw	q u m a q a y aw
umabot	q u m a b o t
umabsent	q u m a b s e n t
umaga	q u m a g a
umagang	q u m a g a ng
umagapay	q u m a g a p ay
umagaw	q u m a g aw
umakyat	q u m a k y a t
umalis	q u m a l i s
umano	q u m a n o
umano'y	q u m a n oy
umapela	q u m o p e l a
umasa	q u m a s a
umawit	q u m a w i t
umeepekto	q u m e q e p e k t o
umepekto	q u m e p e k t o
umihi	q u m i h i
umihip	q u m i h i p
umiibig	q u m i q i b i g
uminom	q u m i n o m
umiwas	q u m i w a s
umpekto	q u m e p e k t o
umpisa	q u m p i s a
umupo	q u m u p o q
umuungal	q u m u q u ng a l
umuwi	q u m u w i
una	q u n a
una't	q u n a t
una'y	q u n ay
unahan	q u n a h a n
unahin	q u n a h i n
unang	q u n a ng
unawaing	q u n a w a q i ng
uncircumcised	q u n s i r k u m k v ay
underground	q a n d e er g er aw n
undersecretary	q a n d er s i k r e t a r i
undp	q u n d i p i
unggoy	q u ng g oy
unidos	q u n i d o s
union	y u ny o n
universal	y u n i v er s a l
university	y u n e b er s i t i
unlad	q u n l a d
unlimited	q u n l i m i t d
unong	q u n o ng
unos	q u n o s
unsatisfied	q u n s a t i s f ay d
unsolicited	q u n s o l i s i t d
unti-unting	q u n t i q u n t i
unuulit	q u n u q u l i t
unwanted	q u n w a n t i d
unwritten	q u n w r e t t e n
up	y u p i
upang	q u p a ng
upo	q u p o
upuan	q u p u q a n
urban	q u r b a n
uri	q u r i
urogynecologist	q u r o jh i n e k o l o jh e s t
us	q o s
usapan	q u s a p a n
users	q u s er s
usman	q u s m a n
uso	q u s o
utak	u t a k
utang	u t a ng
utol	q u t u l
uulitin	q u q u l i t i n
uumpugang	q u q u m p u g a ng
uuwi	q u u w i
uwi	u w i
uwian	w i q a n
valenzuela	v a l e n z w e l a
value	v a l u q
vanessa	v a n e s a
vco	v i s i q ow
vega	v e g a
veranda	v e r a n d a
very	v er i
victor	v i k t o r
victoria	v i k t o r i y a
victoriano	v i k t o r i y a n o
vida	v i d a
vietnam	v iy e t n a m
view	v y u
vigan	v i g a n
villanueva	v i ly a n w e v a
vilma	v i l m a
viral	v i r a l
vista	v i s t a
volante	v o l a n t e
wa	w a
wakas	w a k a s
wala	w a l a q
walang	w a l a ng
walis	w a l i s
walisin	w a l i s i n
walo	w a l o
walong	w a l o ng
walter	w a l t e r
walumpu	w a l u m p u
walumpu't	w a l u m p u t
walumpung	w a l u m p u ng
warehouse	w a r e h aw s
wari'y	w a r i
wash	w a sh
wasto	w a s t o
water	w o t e er
waterfront	w o t e er f er a n t
wb	w b
wedding	w i d i ng
weekend	w e e k e n d
west	w e s t
wheat	w h i t
white	w h i t e
wika	w i k a w
wikang	w i k a ng
william	w i l y u m
winston	w i n s t o n
workers	w er k er s
workshop	w er k sh o p
world	w er l d
y	i
yaan	y a q a n
yabang	y a b a ng
yaman	y a m a n
yamang	y a m a ng
yan	y a n
yang	y a ng
yao'y	y a q oy
yaong	y a q o ng
yata	y a t a
year	y i er
yellow	y e l ow
yelo	y e l o
yong	y u ng
york	y er k
you	y u
your	y u er
yugto	y u g t o
yumuko	y u m u k o
yun	y u n
yung	y o ng
yungib	y o ng i b
yvonne	i v o n
z	z
zamboanga	z a m b w a ng g a
zeny	z e n i
zone	s u n
zubiri	z u b i r i
